Category,Diagnosis,Symptoms
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting, Weakness"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fatigue, High fever, Loss of appetite, Runny nose, Sore throat"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Dizziness, Loss of appetite, Shortness of breath, Wheezing"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Neurological,Migraine,"Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Chronic,Hypertension,"Dizziness, Headache, Headaches, Malaise, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Strep Throat,"Fever, Malaise, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fatigue, Fever, Nausea"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Fatigue, Frequent urination, Pain or burning on urination, Pelvic pain"
Allergy,Allergic Rhinitis (Hay Fever),"Fatigue, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Urological,Kidney Stone,"Fever, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Shortness of breath, Weakness, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints, Weakness"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Fatigue, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Nausea, Stomach cramps, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Nausea, Swollen joints"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Headache, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Fatigue, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Urological,Kidney Stone,"Chills, Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Body aches, Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache, Loss of appetite"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Nausea, Stomach cramps, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Chills, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Chills, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Strep Throat,"Chills, Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Swelling, Tenderness to touch"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Fever, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Chronic,Hypertension,"Dizziness, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Strep Throat,"Fatigue, Fever, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Chills, Fatigue, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Neurological,Migraine,"Body aches, Chills, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Dizziness, Excessive thirst, Frequent urination, Headache, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Fever, Nausea, Stomach cramps, Vomiting"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Neurological,Migraine,"Chills, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Urological,Kidney Stone,"Body aches, Loss of appetite, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache, Nausea"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Fatigue, Malaise, Shortness of breath, Wheezing"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Malaise, Slow-healing sores, Unexplained weight loss"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Fever, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Headache, Inability to bear weight, Malaise, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Headache, Nausea, Pain or burning on urination, Pelvic pain"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Inability to bear weight, Swelling, Tenderness to touch, Weakness"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Runny nose, Sore throat"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Fever, Frequent urination, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Malaise, Shortness of breath, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Hypertension,"Dizziness, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Headache, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fever, Headache, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever, Malaise, Nausea"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Fever, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite, Malaise"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Dizziness, Loss of appetite, Shortness of breath, Wheezing"
Chronic,Hypertension,"Dizziness, Headaches, Loss of appetite, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Malaise, Nausea, Runny nose, Sore throat"
Infectious,Strep Throat,"Chills, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain, Weakness"
Neurological,Migraine,"Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Headache, Inability to bear weight, Malaise, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Headache, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fever, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Fever, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Neurological,Migraine,"Dizziness, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Nausea, Stomach cramps, Vomiting, Weakness"
Infectious,Strep Throat,"Fever, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Neurological,Migraine,"Chills, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Headache, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints"
Infectious,Strep Throat,"Fever, Loss of appetite, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Malaise, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain"
Urological,Kidney Stone,"Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Fever, Shortness of breath, Wheezing"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Loss of appetite, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Fatigue, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Fatigue, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Dizziness, Fever, Frequent urination, Pain or burning on urination, Pelvic pain"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Shortness of breath, Wheezing"
Neurological,Migraine,"Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Infectious,Urinary Tract Infection (UTI),"Body aches, Chills, Cloudy or strong-smelling urine, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Chronic,Hypertension,"Dizziness, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache, Weakness"
